Product Name,Price,Original Prices,Discount rates
"Red Label Natural Care Cardamom, Ginger, Liquorice, Tul...",240,NaN,Nan
Eastern Chicken Masala,45,50,10% off
Rajdhani White Lobia (Whole),70,71,1% off
Kellogg's Fruit and Nut Muesli,290,315,7% off
Dukes Eclairs Chocolate Candy,77,100,23% off
Colavita (Hard Durum Wheat) Farfalle Pasta,285,290,1% off
BRU Instant Coffee,NaN,NaN,Nan
FARMUP Millet Flour 500 g,181,399,54% off
Happilo Premium Turkish Apricots,427,570,25% off
Tang Orange Instant Drink Mix,182,210,13% off
Leonardo Pomace Olive Oil Plastic Bottle,500,949,47% off
FARMUP Yellow Combo (Split),559,700,20% off
Nestle Lactogen Follow-up-Formula (Stage 2),315,NaN,Nan
Tate & Lyle 5 010115 902941 aroma,355,NaN,Nan
Nestle Cerelac 5 Grains & Fruits Cereal,267,NaN,Nan
Tang Mango Instant Drink Mix,199,210,5% off
Complan Royale Chocolate,338,385,12% off
Nestle Cerelac Wheat Apple Cherry Cereal,220,NaN,Nan
Sugar Free Natura 300 Pellets Sweetener,186,190,2% off
"Tang Orange Instant Drink Mix, 500g(Each)",264,270,2% off
Disano Extra Light Olive Oil Plastic Bottle,999,"2,395",58% off
"CCDS Bakers Instant Yeast For Baking, Proofing, Making ...",239,249,4% off
"Organic Forest Pink Rock Salt Granules, 500gm Himalayan...",208,245,15% off
Figaro Extra Virgin Olive Oil Plastic Bottle,699,"1,099",36% off
Happilo 100% Natural Premium Whole Nuts Cashews,439,499,12% off
Pintola Classic Peanut Butter (Crunchy) 1 kg,319,349,8% off
Nestle Lactogen Infant Formula (Stage 1),330,NaN,Nan
Nature Valley Oats and Dark Chocolate Crunchy Granola B...,310,330,6% off
Nescafe Greetings - The Ultimate Instant Coffee Kit 100...,601,699,14% off
NutrineLife With the Mother Vinegar,499,899,44% off
Oleev Imported Pomace Olive Oil Plastic Bottle,545,749,27% off
Kitchens of India Badam and Moong Dal Halwa 450 g,342,360,5% off
FARMUP Yellow Combo (Split),558,700,20% off
Pintola All Natural Export Peanut Butter (Creamy) 1 kg,387,425,8% off
FARMUP Combo,560,700,20% off
Balance Natural Diabetic & Keto friendly Sugar Free Swe...,149,200,25% off
Horlicks Chocolate Delight Flavour Mix,97,105,7% off
FARMUP Yellow Combo (Split),620,700,11% off
Nestle Nan Pro Infant Formula (Stage 1),595,NaN,Nan
Wnature Organic Roasted Arabica Coffee beans 1kg-100% P...,650,700,7% off
Nestle Cerelac Wheat Apple Cereal,190,NaN,Nan
"organic forest Pink Rock Salt Powder, 500gm Rock Salt",208,245,15% off
Markstor Saudi Medjoul Dates Dates,"1,050","1,250",16% off
Nestle Cerelac Multi Grain Dal Veg Cereal,257,NaN,Nan
Akiva Superfoods Organic Jaggery Powder - 900gm Jaggery,265,295,10% off
