Product Name,Price,Original Prices,Discount rates
Billion Extra Absorb Diaper Pants - S,519,730,28% off
Pampers Baby-Dry Pants Diaper - M,618,699,11% off
Pampers New Extra Large Size Diapers Pants (36 Count) -...,650,699,7% off
MamyPoko Pants Extra Absorb Diapers - XL,657,699,6% off
Little Angel Baby Diaper Pants - M,"1,199","1,998",39% off
Pampers Pants Diapers Monthly Box Pack New - M,"1,679","2,099",20% off
Mamaearth Moisturizing Baby Bathing Soap Bar pH 5.5 wit...,224,249,10% off
Johnson's Baby Oil with Vitamin E,324,360,10% off
Himalaya baby cream extra soft and gentle,220,235,6% off
Himalaya Baby Massage Oil,148,165,10% off
Billion Extra Absorb Diaper Pants - L,419,520,19% off
Pampers Baby-Dry Pants Diaper - M,873,"1,049",16% off
SYGA Manual Breast Pump with Nipple  - Manual,329,850,61% off
Huggies Wonder Pants Diaper - S,587,699,16% off
Pampers Active Baby Taped Diapers - M,870,"1,049",17% off
Pampers Baby-Dry Pants Diaper - L,891,"1,099",18% off
Nestle Cerelac Wheat Apple Cereal,190,NaN,Nan
Himalaya Happy Baby Care Gift Pack,190,200,5% off
Pampers New Small Size Diapers Pants (58 Count) - S,617,699,11% off
Mogal enterprise Baby Swimming 13 Pcs Sounding Bath Toy...,299,NaN,Nan
Nestle Cerelac Multi Grain Dal Veg Cereal,257,NaN,Nan
"LuvLap Baby Moisturising Wipes with Aloe Vera, 72 Wipes...",219,297,26% off
Pampers Premium Care Pants Diapers - M,857,"1,049",18% off
Pampers Premium Care Pants Diapers Monthly Box Pack - X...,"1,679","2,099",20% off
Pampers Baby-Dry Diapers - L,915,949,3% off
Pampers Baby-Dry Pants Diaper - New Born,891,"1,049",15% off
MeeMee Anti Bacterial Caring Baby Wet Wipes with Aloe V...,420,645,34% off
Himalaya Happy baby gift pack,378,470,19% off
"Pampers New Diapers Pants, Small, 36 Count - S",379,399,5% off
Himalaya Baby powder,61,65,6% off
Pampers Active Baby Diapers Taped Large Size,"1,424","1,499",5% off
"Mamaearth Complete Baby Care Kit with Baby Lotion, Sham...",979,"1,195",18% off
Johnson's Baby Powder( 400g) with Baby Soap(100 g),219,258,15% off
Miss & Chief Bed Protector Sheet- Waterproof & Reusable,284,499,43% off
Huggies Small Size Wonder Pants120 ( 60 X 2) - S,"1,109","1,398",20% off
Pampers Active Baby Diapers - New Born,972,999,2% off
Huggies Wonder Pants - XL,"1,784","2,099",15% off
Himalaya Diaper Rash Cream,104,110,5% off
Pampers Premium Care Pants - XL,822,"1,049",21% off
MeeMee Anti Bacterial Caring Baby Wet Wipes with Lemon ...,371,495,25% off
Amulspray Infant Milk Food,197,NaN,Nan
Pampers Baby-Dry Pants Diaper - S,934,"1,099",15% off
Little Angel Baby Diaper Pants (2 x 42 Pcs) - XL,880,"1,398",37% off
"MamyPoko Extra Absorb Diaper - Small Size, Pack of 126 ...","1,229","1,499",18% off
Pampers Active Baby Diapers - New Born,332,349,4% off
Pampers Baby-Dry Pants Diaper - M,618,699,11% off
Pampers New Extra Extra Extra Large Size Diapers Pants ...,891,"1,049",15% off
Little Angel Baby Diaper Pants - L,"1,199","1,998",39% off
Little's Soft Cleansing Baby Lid Pack of 6,499,"1,194",58% off
Mamaearth Gentle Cleansing Shampoo for Babies (400 ml) ...,351,399,12% off
Nestle Nan Pro Follow-up-Formula (Stage 4),580,NaN,Nan
Pampers Baby-Dry Pants Diaper - M,873,"1,049",16% off
Pampers Baby-Dry Pants Diapers - XXL,474,499,5% off
Sebamed Baby Cleansing Bar (150 g),379,380,Nan
Pampers Pants Diapers - XS,189,199,5% off
Pampers Baby-Dry Pants Diaper - L,891,"1,099",18% off
Nestle Cerelac Wheat Cereal,180,NaN,Nan
MamyPoko Pants Extra Absorb Diapers - L,463,499,7% off
Johnson's Baby Cream,128,130,1% off
Huggies Wonder Pants - S,"1,615","1,999",19% off
"LuvLap Baby Moisturising Wipes with Aloe Vera, 72 Wipes...",219,297,26% off
Miss & Chief Baby Playpen Bassinet,"2,999","4,499",33% off
Nestle Cerelac Rice Cereal,182,NaN,Nan
Pampers Premium Care Pants Diapers Monthly Box Pack - L,"1,679","2,099",20% off
"Pampers New Diaper Pants Super Value Box, Large (Pack o...","2,384","2,999",20% off
Pampers Baby-Dry Pants Diaper - New Born,891,"1,049",15% off
"TOPHAVEN Baby Knee Pads for Crawling,Comfortable Knee C...",187,599,68% off
Johnson's Skincare Wipes 80s (Pack of 3),586,690,15% off
MamyPoko Pants Extra Absorb Diapers - S,648,699,7% off
Nestle Nestum Rice Fruits Cereal,177,NaN,Nan
IM ENTERPRISE Colorful Floating Baby Bath Aquatic Anima...,299,999,70% off
Pampers Active Baby Diapers - New Born,972,999,2% off
Miss & Chief Bed Protector Sheet- Waterproof & Reusable,448,699,35% off
Huggies Ultra soft - XS,265,315,15% off
TEMSON Baby Bath Tub/Pool - 2 FT Bath Toy,299,499,40% off
Pampers Baby-Dry Pants Diaper - S,934,"1,099",15% off
Huggies Dry pants Large - L,169,199,15% off
Himalaya GENTLE BABY SOAP VALUE PACK,132,NaN,Nan
Himalaya Baby Lotion,137,145,5% off
Indus Valley BIO Organic Extra Virgin Coconut Oil,219,249,12% off
Pampers Premium Care Pant Style Diapers Small Size - 70...,891,"1,049",15% off
Pampers Baby-Dry Pants Diaper - M,618,699,11% off
Pampers Premium Care Pants Diapers Monthly Box Pack - M,"1,679","2,099",20% off
Wishkey Baby Bath Toys-Set Of 14 For Boys Girls Kids Ba...,319,379,15% off
Nestle Cerelac Wheat - Rice Mixed Fruit Cereal,242,NaN,Nan
Pampers Pants Diapers Monthly Box Pack New - M,"1,679","2,099",20% off
Enfamil A Plus Stage 1 Infant Formula,715,NaN,Nan
Brandonn Solid Single Hooded Baby Blanket,299,"1,200",75% off
Huggies Wonder Pants Diaper - S,410,499,17% off
Himalaya Baby Cream,121,128,5% off
Philips Avent NATURAL 2.0 BOTTLE 260ml Single - 260 ml,495,NaN,Nan
Pampers Baby-Dry Pants Diaper - M,873,"1,049",16% off
Little Angel Baby Diaper - XL,"1,199","1,998",39% off
"Mamaearth Complete Baby Care Kit with Baby Lotion, Sham...",979,"1,195",18% off
"Mamaearth Gentle Cleansing Baby Shampoo : New borns, ba...",183,199,8% off
Pampers Baby-Dry Pants Diaper - L,891,"1,099",18% off
